strategy,entry_signals,closed_trades,open_positions,wins,losses,win_rate,avg_return,median_return,net_avg_return,profit_factor,max_loss,eligible_win_rate_gt_40,exit_reason_counts
strategy4.1_breakout_confirmation,14,14,0,6,8,42.857143,0.133622,-0.362010,-0.026378,0.942612,-0.960000,True,"{""strategy4_momentum_loss_15m"": 3, ""strategy4_stop_loss_0_8pct"": 4, ""strategy4_time_stop"": 5, ""strategy4_tp2_or_runner_exit"": 1, ""strategy4_trailing_runner_giveback"": 1}"
strategy24_top1h_delay_rank5_chg1_5,893,884,9,297,587,33.597285,-0.186537,-0.019051,-0.346537,0.443406,-1.660000,False,"{""ma20_below_ma60"": 278, ""strategy24_breakeven_or_trailing_stop"": 236, ""strategy24_stop_loss_1_5pct"": 235, ""strategy24_time_stop"": 135}"
strategy2,351,350,1,104,246,29.714286,0.039370,-0.553507,-0.120630,0.806559,-1.160000,False,"{""strategy2_momentum_loss_15m"": 29, ""strategy2_no_follow_through"": 137, ""strategy2_stop_loss_1pct"": 137, ""strategy2_trailing_giveback"": 47}"
strategy4_breakout_confirmation,170,169,1,58,111,34.319527,0.044085,-0.525326,-0.115915,0.781773,-0.960000,False,"{""ma20_below_ma60"": 28, ""strategy4_breakeven_stop_after_tp1"": 10, ""strategy4_momentum_loss_15m"": 16, ""strategy4_stop_loss_0_8pct"": 76, ""strategy4_time_stop"": 15, ""strategy4_tp2_or_runner_exit"": 12, ""strategy4_trailing_runner_giveback"": 12}"
strategy2.1_surge_momentum,152,152,0,39,113,25.657895,-0.030524,-0.155574,-0.190524,0.477483,-0.860000,False,"{""strategy2.1_momentum_loss_15m"": 13, ""strategy2.1_no_follow_through"": 89, ""strategy2.1_stop_loss_0_7pct"": 33, ""strategy2.1_trailing_giveback"": 17}"
strategy9_ema9_bounce_low_heat,124,124,0,38,86,30.645161,-0.023364,-0.238835,-0.183364,0.572657,-0.860000,False,"{""ma20_below_ma60"": 28, ""strategy9_breakeven_stop_after_tp1"": 8, ""strategy9_ema_exit"": 5, ""strategy9_stop_loss_0_7pct"": 47, ""strategy9_time_stop"": 24, ""strategy9_tp2_or_runner_exit"": 7, ""strategy9_trailing_runner_giveback"": 5}"
s18_top2h_retest_runner,47,47,0,13,34,27.659574,-0.028816,-0.600000,-0.188816,0.635349,-0.760000,False,"{""strategy18_breakeven_stop_after_tp1"": 2, ""strategy18_stop_loss_0_6pct"": 29, ""strategy18_time_stop"": 9, ""strategy18_tp2_or_runner_exit"": 4, ""strategy18_trailing_runner_giveback"": 3}"
strategy22_2h_strength_breakout_retest,38,38,0,12,26,31.578947,0.059679,-0.396714,-0.100321,0.788549,-0.860000,False,"{""ma20_below_ma60"": 3, ""strategy22_breakeven_stop_after_tp1"": 2, ""strategy22_ema_exit"": 1, ""strategy22_stop_loss_0_7pct"": 18, ""strategy22_time_stop"": 12, ""strategy22_trailing_runner_giveback"": 2}"
strategy1,35,35,0,11,24,31.428571,0.085106,-0.440529,-0.074894,0.858964,-1.160000,False,"{""breakeven_stop_after_tp1"": 3, ""early_momentum_loss_15m"": 18, ""stop_loss_1pct"": 6, ""tp2_take_quarter_keep_runner"": 5, ""trailing_runner_giveback"": 3}"
strategy20_6h12h_cool_vwap_reclaim,21,20,1,6,14,30.000000,0.553754,-0.455804,0.393754,1.820314,-0.860000,False,"{""ma20_below_ma60"": 2, ""strategy20_breakeven_stop_after_tp1"": 1, ""strategy20_ema_exit"": 2, ""strategy20_stop_loss_0_7pct"": 11, ""strategy20_time_stop"": 1, ""strategy20_tp2_or_runner_exit"": 2, ""strategy20_trailing_runner_giveback"": 1}"
strategy23_top1h_clean_early_breakout,15,15,0,4,11,26.666667,-0.184755,-0.600000,-0.344755,0.331180,-0.760000,False,"{""strategy23_stop_loss_0_6pct"": 10, ""strategy23_time_stop"": 4, ""strategy23_trailing_runner_giveback"": 1}"
strategy21_multi_tf_intersection_ema9_bounce,12,11,1,3,8,27.272727,0.147007,-0.600000,-0.012993,0.974004,-0.760000,False,"{""strategy21_breakeven_stop_after_tp1"": 1, ""strategy21_stop_loss_0_6pct"": 7, ""strategy21_time_stop"": 1, ""strategy21_tp2_or_runner_exit"": 1, ""strategy21_trailing_runner_giveback"": 1}"
