rank,entry_name,exit_name,entries,closed_trades,win_rate,avg_return,median_return,net_avg_return,profit_factor,max_loss,max_drawdown_proxy,exit_reason_counts
1,delay3_rank3_chg3-10_green_vol,sl1.0_be0.6_trail0.9x0.4_t8,20,20,60.0000,1.648332,1.068048,1.488332,4.207611,-1.160000,-4.963952,"{""stop_or_trail"": 20}"
2,delay3_rank3_chg3-10_green_vol,sl1.0_be0.6_trail0.9x0.4_t12,20,20,60.0000,1.648332,1.068048,1.488332,4.207611,-1.160000,-4.963952,"{""stop_or_trail"": 20}"
3,delay3_rank3_chg3-10_green_vol,sl1.0_be0.6_trail0.9x0.4_t18,20,20,60.0000,1.648332,1.068048,1.488332,4.207611,-1.160000,-4.963952,"{""stop_or_trail"": 20}"
4,delay3_rank3_chg3-10_green_vol,sl0.8_be0.6_trail0.9x0.4_t8,20,20,55.0000,1.638529,0.936228,1.478529,4.422521,-0.960000,-5.760000,"{""stop_or_trail"": 20}"
5,delay3_rank3_chg3-10_green_vol,sl0.8_be0.6_trail0.9x0.4_t12,20,20,55.0000,1.638529,0.936228,1.478529,4.422521,-0.960000,-5.760000,"{""stop_or_trail"": 20}"
6,delay3_rank3_chg3-10_green_vol,sl0.8_be0.6_trail0.9x0.4_t18,20,20,55.0000,1.638529,0.936228,1.478529,4.422521,-0.960000,-5.760000,"{""stop_or_trail"": 20}"
7,delay3_rank3_chg3-10_green_vol,sl1.2_be0.6_trail0.9x0.4_t8,20,20,60.0000,1.568332,1.068048,1.408332,3.588845,-1.360000,-5.963952,"{""stop_or_trail"": 20}"
8,delay3_rank3_chg3-10_green_vol,sl1.2_be0.6_trail0.9x0.4_t12,20,20,60.0000,1.568332,1.068048,1.408332,3.588845,-1.360000,-5.963952,"{""stop_or_trail"": 20}"
9,delay3_rank3_chg3-10_green_vol,sl1.2_be0.6_trail0.9x0.4_t18,20,20,60.0000,1.568332,1.068048,1.408332,3.588845,-1.360000,-5.963952,"{""stop_or_trail"": 20}"
10,delay3_rank3_chg3-10_green_vol,sl0.8_be0.8_trail1.2x0.6_t8,20,20,50.0000,1.497568,0.468478,1.337568,4.039927,-0.960000,-5.760000,"{""stop_or_trail"": 20}"
11,delay3_rank3_chg3-10_green_vol,sl0.8_be0.8_trail1.2x0.6_t12,20,20,50.0000,1.497568,0.468478,1.337568,4.039927,-0.960000,-5.760000,"{""stop_or_trail"": 20}"
12,delay3_rank3_chg3-10_green_vol,sl0.8_be0.8_trail1.2x0.6_t18,20,20,50.0000,1.497568,0.468478,1.337568,4.039927,-0.960000,-5.760000,"{""stop_or_trail"": 20}"
13,delay3_rank3_chg3-10_green_vol,sl1.0_be0.8_trail1.2x0.6_t8,20,20,55.0000,1.497230,0.865100,1.337230,3.833114,-1.160000,-5.166756,"{""stop_or_trail"": 20}"
14,delay3_rank3_chg3-10_green_vol,sl1.0_be0.8_trail1.2x0.6_t12,20,20,55.0000,1.497230,0.865100,1.337230,3.833114,-1.160000,-5.166756,"{""stop_or_trail"": 20}"
15,delay3_rank3_chg3-10_green_vol,sl1.0_be0.8_trail1.2x0.6_t18,20,20,55.0000,1.497230,0.865100,1.337230,3.833114,-1.160000,-5.166756,"{""stop_or_trail"": 20}"
