rank,entry_name,exit_name,entries,closed_trades,win_rate,avg_return,median_return,net_avg_return,profit_factor,max_loss,max_drawdown_proxy,exit_reason_counts
1,delay3_rank3_chg3-10_green_vol_dur10-40,sl0.8_be0.6_trail0.9x0.4_t8,136,136,51.4706,0.672780,0.521367,0.512780,2.275053,-0.960000,-4.800000,"{""session_end"": 10, ""stop_or_trail"": 126}"
2,delay3_rank3_chg3-10_green_vol_dur10-40,sl0.8_be0.6_trail0.9x0.4_t12,136,136,51.4706,0.672780,0.521367,0.512780,2.275053,-0.960000,-4.800000,"{""session_end"": 10, ""stop_or_trail"": 126}"
3,delay3_rank3_chg3-10_green_vol_dur10-40,sl0.8_be0.6_trail0.9x0.4_t18,136,136,51.4706,0.672780,0.521367,0.512780,2.275053,-0.960000,-4.800000,"{""session_end"": 10, ""stop_or_trail"": 126}"
4,delay3_rank3_chg3-10_green_vol_dur10-40,sl1.0_be0.6_trail0.9x0.4_t8,136,136,53.6765,0.665220,0.567329,0.505220,2.177499,-1.160000,-5.800000,"{""session_end"": 14, ""stop_or_trail"": 121, ""time_stop"": 1}"
5,delay3_rank3_chg3-10_green_vol_dur10-40,sl1.0_be0.6_trail0.9x0.4_t12,136,136,53.6765,0.665220,0.567329,0.505220,2.177499,-1.160000,-5.800000,"{""session_end"": 15, ""stop_or_trail"": 121}"
6,delay3_rank3_chg3-10_green_vol_dur10-40,sl1.0_be0.6_trail0.9x0.4_t18,136,136,53.6765,0.665220,0.567329,0.505220,2.177499,-1.160000,-5.800000,"{""session_end"": 15, ""stop_or_trail"": 121}"
7,delay3_rank3_chg3-10_green_vol_dur10-40,sl1.2_be0.6_trail0.9x0.4_t8,136,136,55.1471,0.644676,0.571194,0.484676,2.053433,-1.360000,-6.988362,"{""session_end"": 17, ""stop_or_trail"": 118, ""time_stop"": 1}"
8,delay3_rank3_chg3-10_green_vol_dur10-40,sl1.2_be0.6_trail0.9x0.4_t12,136,136,55.1471,0.644676,0.571194,0.484676,2.053433,-1.360000,-6.988362,"{""session_end"": 18, ""stop_or_trail"": 118}"
9,delay3_rank3_chg3-10_green_vol_dur10-40,sl1.2_be0.6_trail0.9x0.4_t18,136,136,55.1471,0.644676,0.571194,0.484676,2.053433,-1.360000,-6.988362,"{""session_end"": 18, ""stop_or_trail"": 118}"
10,delay3_rank3_chg3-10_green_vol_dur8-50,sl0.8_be0.6_trail0.9x0.4_t8,164,164,50.6098,0.624411,0.227963,0.464411,2.176157,-0.960000,-5.657244,"{""session_end"": 20, ""stop_or_trail"": 144}"
11,delay3_rank3_chg3-10_green_vol_dur8-50,sl0.8_be0.6_trail0.9x0.4_t12,164,164,50.6098,0.624411,0.227963,0.464411,2.176157,-0.960000,-5.657244,"{""session_end"": 20, ""stop_or_trail"": 144}"
12,delay3_rank3_chg3-10_green_vol_dur8-50,sl0.8_be0.6_trail0.9x0.4_t18,164,164,50.6098,0.624411,0.227963,0.464411,2.176157,-0.960000,-5.657244,"{""session_end"": 20, ""stop_or_trail"": 144}"
13,delay3_rank3_chg3-10_green_vol_dur8-50,sl1.0_be0.6_trail0.9x0.4_t8,164,164,52.4390,0.615703,0.521367,0.455703,2.086042,-1.160000,-6.657244,"{""session_end"": 24, ""stop_or_trail"": 139, ""time_stop"": 1}"
14,delay3_rank3_chg3-10_green_vol_dur8-50,sl1.0_be0.6_trail0.9x0.4_t12,164,164,52.4390,0.615703,0.521367,0.455703,2.086042,-1.160000,-6.657244,"{""session_end"": 25, ""stop_or_trail"": 139}"
15,delay3_rank3_chg3-10_green_vol_dur8-50,sl1.0_be0.6_trail0.9x0.4_t18,164,164,52.4390,0.615703,0.521367,0.455703,2.086042,-1.160000,-6.657244,"{""session_end"": 25, ""stop_or_trail"": 139}"
16,delay3_rank3_chg3-10_green_vol_reclaim_dur10-40,sl1.0_be0.6_trail0.9x0.4_t8,83,83,54.2169,0.598728,0.582634,0.438728,2.085344,-1.160000,-5.800000,"{""session_end"": 8, ""stop_or_trail"": 74, ""time_stop"": 1}"
17,delay3_rank3_chg3-10_green_vol_reclaim_dur10-40,sl1.0_be0.6_trail0.9x0.4_t12,83,83,54.2169,0.598728,0.582634,0.438728,2.085344,-1.160000,-5.800000,"{""session_end"": 9, ""stop_or_trail"": 74}"
18,delay3_rank3_chg3-10_green_vol_reclaim_dur10-40,sl1.0_be0.6_trail0.9x0.4_t18,83,83,54.2169,0.598728,0.582634,0.438728,2.085344,-1.160000,-5.800000,"{""session_end"": 9, ""stop_or_trail"": 74}"
