rank,entry_name,exit_name,entries,closed_trades,win_rate,avg_return,median_return,net_avg_return,profit_factor,max_loss,max_drawdown_proxy,exit_reason_counts
1,delay2_rank3_chg3-10_green_reclaim,sl1.5_be0.6_trail0.9x0.4_t8,42,42,54.7619,1.313560,0.926961,1.153560,3.542810,-1.660000,-5.371992,"{""session_end"": 6, ""stop_or_trail"": 35, ""time_stop"": 1}"
2,delay2_rank3_chg3-10_green_reclaim,sl1.5_be0.6_trail0.9x0.4_t12,42,42,52.3810,1.300812,0.926961,1.140812,3.493770,-1.660000,-5.371992,"{""session_end"": 7, ""stop_or_trail"": 35}"
3,delay2_rank3_chg3-10_green_reclaim,sl1.5_be0.6_trail0.9x0.4_t18,42,42,52.3810,1.300812,0.926961,1.140812,3.493770,-1.660000,-5.371992,"{""session_end"": 7, ""stop_or_trail"": 35}"
4,delay2_rank3_chg3-10_green_reclaim,sl1.5_be0.6_trail0.9x0.4_t6,42,42,52.3810,1.297979,0.926961,1.137979,3.472268,-1.660000,-5.371992,"{""session_end"": 6, ""stop_or_trail"": 35, ""time_stop"": 1}"
5,delay2_rank3_chg3-10_green_reclaim,sl1.2_be0.6_trail0.9x0.4_t8,42,42,52.3810,1.293630,0.650154,1.133630,3.526994,-1.360000,-5.600000,"{""session_end"": 4, ""stop_or_trail"": 37, ""time_stop"": 1}"
6,delay3_rank3_chg2-8_green_vol,sl0.8_be0.6_trail0.9x0.4_t8,30,30,56.6667,1.281928,0.607753,1.121928,4.335846,-0.960000,-6.720000,"{""session_end"": 2, ""stop_or_trail"": 28}"
7,delay3_rank3_chg2-8_green_vol,sl0.8_be0.6_trail0.9x0.4_t12,30,30,56.6667,1.281928,0.607753,1.121928,4.335846,-0.960000,-6.720000,"{""session_end"": 2, ""stop_or_trail"": 28}"
8,delay3_rank3_chg2-8_green_vol,sl0.8_be0.6_trail0.9x0.4_t18,30,30,56.6667,1.281928,0.607753,1.121928,4.335846,-0.960000,-6.720000,"{""session_end"": 2, ""stop_or_trail"": 28}"
9,delay3_rank3_chg2-8_green_vol,sl1.0_be0.6_trail0.9x0.4_t8,30,30,60.0000,1.281796,0.700637,1.121796,4.079110,-1.160000,-6.123952,"{""session_end"": 2, ""stop_or_trail"": 28}"
10,delay3_rank3_chg2-8_green_vol,sl1.0_be0.6_trail0.9x0.4_t12,30,30,60.0000,1.281796,0.700637,1.121796,4.079110,-1.160000,-6.123952,"{""session_end"": 2, ""stop_or_trail"": 28}"
