rank,entry_name,exit_name,entries,closed_trades,win_rate,avg_return,median_return,net_avg_return,profit_factor,max_loss,max_drawdown_proxy,exit_reason_counts
1,delay0_rank3_chg3-10,sl1.0_be0.6_trail0.9x0.4_t8,41,41,56.0976,1.002403,0.293353,0.842403,3.142851,-1.160000,-3.781147,"{""session_end"": 13, ""stop_or_trail"": 28}"
2,delay0_rank3_chg3-10,sl1.0_be0.6_trail0.9x0.4_t12,41,41,56.0976,1.002403,0.293353,0.842403,3.142851,-1.160000,-3.781147,"{""session_end"": 13, ""stop_or_trail"": 28}"
3,delay0_rank3_chg3-10,sl1.0_be0.6_trail0.9x0.4_t18,41,41,56.0976,1.002403,0.293353,0.842403,3.142851,-1.160000,-3.781147,"{""session_end"": 13, ""stop_or_trail"": 28}"
4,delay0_rank3_chg3-10,sl1.0_be0.6_trail0.9x0.4_t6,41,41,56.0976,0.997959,0.293353,0.837959,3.131548,-1.160000,-3.781147,"{""session_end"": 12, ""stop_or_trail"": 28, ""time_stop"": 1}"
5,delay0_rank3_chg3-10,sl2.0_be0.6_trail0.9x0.4_t12,41,41,58.5366,0.954772,0.542762,0.794772,2.732685,-2.160000,-4.781147,"{""session_end"": 17, ""stop_or_trail"": 24}"
6,delay0_rank3_chg3-10,sl2.0_be0.6_trail0.9x0.4_t18,41,41,58.5366,0.954772,0.542762,0.794772,2.732685,-2.160000,-4.781147,"{""session_end"": 17, ""stop_or_trail"": 24}"
7,delay0_rank3_chg3-10,sl1.2_be0.6_trail0.9x0.4_t8,41,41,56.0976,0.953622,0.293353,0.793622,2.795920,-1.360000,-4.381147,"{""session_end"": 13, ""stop_or_trail"": 28}"
8,delay0_rank3_chg3-10,sl1.2_be0.6_trail0.9x0.4_t12,41,41,56.0976,0.953622,0.293353,0.793622,2.795920,-1.360000,-4.381147,"{""session_end"": 13, ""stop_or_trail"": 28}"
9,delay0_rank3_chg3-10,sl1.2_be0.6_trail0.9x0.4_t18,41,41,56.0976,0.953622,0.293353,0.793622,2.795920,-1.360000,-4.381147,"{""session_end"": 13, ""stop_or_trail"": 28}"
10,delay0_rank3_chg3-10,sl1.2_be0.6_trail0.9x0.4_t6,41,41,56.0976,0.949179,0.293353,0.789179,2.785864,-1.360000,-4.381147,"{""session_end"": 12, ""stop_or_trail"": 28, ""time_stop"": 1}"
11,delay1_rank3_chg3-10,sl1.5_be0.8_trail1.2x0.6_t12,32,32,50.0000,0.926956,0.361670,0.766956,2.663718,-1.660000,-5.214320,"{""session_end"": 10, ""stop_or_trail"": 22}"
12,delay1_rank3_chg3-10,sl1.5_be0.8_trail1.2x0.6_t18,32,32,50.0000,0.926956,0.361670,0.766956,2.663718,-1.660000,-5.214320,"{""session_end"": 10, ""stop_or_trail"": 22}"
13,delay0_rank3_chg3-10,sl0.8_be0.6_trail0.9x0.4_t6,41,41,53.6585,0.922057,0.280318,0.762057,2.920058,-0.960000,-3.181147,"{""session_end"": 9, ""stop_or_trail"": 32}"
14,delay0_rank3_chg3-10,sl0.8_be0.6_trail0.9x0.4_t8,41,41,53.6585,0.922057,0.280318,0.762057,2.920058,-0.960000,-3.181147,"{""session_end"": 9, ""stop_or_trail"": 32}"
15,delay0_rank3_chg3-10,sl0.8_be0.6_trail0.9x0.4_t12,41,41,53.6585,0.922057,0.280318,0.762057,2.920058,-0.960000,-3.181147,"{""session_end"": 9, ""stop_or_trail"": 32}"
16,delay0_rank3_chg3-10,sl0.8_be0.6_trail0.9x0.4_t18,41,41,53.6585,0.922057,0.280318,0.762057,2.920058,-0.960000,-3.181147,"{""session_end"": 9, ""stop_or_trail"": 32}"
17,delay0_rank3_chg3-10,sl1.5_be0.6_trail0.9x0.4_t8,41,41,56.0976,0.916216,0.293353,0.756216,2.577724,-1.660000,-5.281147,"{""session_end"": 16, ""stop_or_trail"": 25}"
18,delay0_rank3_chg3-10,sl1.5_be0.6_trail0.9x0.4_t12,41,41,56.0976,0.916216,0.293353,0.756216,2.577724,-1.660000,-5.281147,"{""session_end"": 16, ""stop_or_trail"": 25}"
19,delay0_rank3_chg3-10,sl1.5_be0.6_trail0.9x0.4_t18,41,41,56.0976,0.916216,0.293353,0.756216,2.577724,-1.660000,-5.281147,"{""session_end"": 16, ""stop_or_trail"": 25}"
20,delay1_rank3_chg3-10,sl1.5_be0.8_trail1.2x0.6_t8,32,32,50.0000,0.912018,0.339659,0.752018,2.631313,-1.660000,-5.214320,"{""session_end"": 10, ""stop_or_trail"": 21, ""time_stop"": 1}"
