rank,entry_name,exit_name,entries,closed_trades,win_rate,avg_return,median_return,net_avg_return,profit_factor,max_loss,max_drawdown_proxy,exit_reason_counts
1,delay1_rank5_chg1-5,sl1.5_be0.8_trail1.2x0.6_t12,127,127,54.3307,0.675293,0.395034,0.515293,2.821762,-1.660000,-6.944954,"{""session_end"": 71, ""stop_or_trail"": 55, ""time_stop"": 1}"
2,delay1_rank5_chg1-5,sl1.5_be0.8_trail1.2x0.6_t18,127,127,54.3307,0.671082,0.395034,0.511082,2.806874,-1.660000,-6.944954,"{""session_end"": 71, ""stop_or_trail"": 56}"
3,delay1_rank5_chg1-5,sl2.0_be0.8_trail1.2x0.6_t12,127,127,54.3307,0.664454,0.395034,0.504454,2.717620,-2.160000,-7.310749,"{""session_end"": 74, ""stop_or_trail"": 52, ""time_stop"": 1}"
4,delay1_rank5_chg1-5,sl2.0_be0.8_trail1.2x0.6_t18,127,127,54.3307,0.660243,0.395034,0.500243,2.703282,-2.160000,-7.310749,"{""session_end"": 74, ""stop_or_trail"": 53}"
5,delay1_rank5_chg1-5,sl1.5_be0.8_trail1.2x0.6_t8,127,127,54.3307,0.644645,0.395034,0.484645,2.682544,-1.660000,-7.184151,"{""session_end"": 61, ""stop_or_trail"": 54, ""time_stop"": 12}"
6,delay1_rank5_chg1-5,sl2.0_be0.8_trail1.2x0.6_t8,127,127,54.3307,0.633805,0.395034,0.473805,2.585259,-2.160000,-7.549946,"{""session_end"": 63, ""stop_or_trail"": 51, ""time_stop"": 13}"
7,delay1_rank5_chg1-12,sl1.5_be0.8_trail1.2x0.6_t12,137,137,53.2847,0.633659,0.310198,0.473659,2.507134,-1.660000,-3.719866,"{""session_end"": 72, ""stop_or_trail"": 64, ""time_stop"": 1}"
8,delay1_rank5_chg1-12,sl1.5_be0.8_trail1.2x0.6_t18,137,137,53.2847,0.629756,0.310198,0.469756,2.494713,-1.660000,-3.719866,"{""session_end"": 72, ""stop_or_trail"": 65}"
9,delay1_rank10_chg2-8,sl1.5_be0.8_trail1.2x0.6_t12,169,169,54.4379,0.619504,0.260611,0.459504,2.715922,-1.660000,-4.434198,"{""session_end"": 90, ""stop_or_trail"": 78, ""time_stop"": 1}"
10,delay1_rank10_chg2-8,sl1.5_be0.8_trail1.2x0.6_t18,169,169,54.4379,0.616340,0.260611,0.456340,2.704104,-1.660000,-4.434198,"{""session_end"": 90, ""stop_or_trail"": 79}"
