rank,entry_name,exit_name,entries,closed_trades,win_rate,avg_return,median_return,net_avg_return,profit_factor,max_loss,max_drawdown_proxy,exit_reason_counts
1,delay0_rank5_chg3-10,sl1.0_be0.6_trail0.9x0.4_t12,102,102,49.0196,0.590998,0.143011,0.430998,2.037361,-1.160000,-12.841720,"{""session_end"": 34, ""stop_or_trail"": 68}"
2,delay0_rank5_chg3-10,sl1.0_be0.6_trail0.9x0.4_t18,102,102,49.0196,0.590998,0.143011,0.430998,2.037361,-1.160000,-12.841720,"{""session_end"": 34, ""stop_or_trail"": 68}"
3,delay0_rank5_chg3-10,sl0.8_be0.6_trail0.9x0.4_t12,102,102,48.0392,0.590401,0.063646,0.430401,2.117080,-0.960000,-10.188316,"{""session_end"": 26, ""stop_or_trail"": 76}"
4,delay0_rank5_chg3-10,sl0.8_be0.6_trail0.9x0.4_t18,102,102,48.0392,0.590401,0.063646,0.430401,2.117080,-0.960000,-10.188316,"{""session_end"": 26, ""stop_or_trail"": 76}"
5,delay0_rank5_chg3-10,sl1.0_be0.6_trail0.9x0.4_t8,102,102,49.0196,0.585783,0.143011,0.425783,2.024808,-1.160000,-13.065684,"{""session_end"": 33, ""stop_or_trail"": 67, ""time_stop"": 2}"
6,delay0_rank5_chg3-10,sl0.8_be0.6_trail0.9x0.4_t8,102,102,48.0392,0.585186,0.063646,0.425186,2.103544,-0.960000,-10.412280,"{""session_end"": 25, ""stop_or_trail"": 75, ""time_stop"": 2}"
7,delay1_rank3_chg1-5,sl1.5_be0.8_trail1.2x0.6_t12,104,104,52.8846,0.580655,0.321874,0.420655,2.227035,-1.660000,-8.654832,"{""session_end"": 50, ""stop_or_trail"": 54}"
8,delay1_rank3_chg1-5,sl1.5_be0.8_trail1.2x0.6_t18,104,104,52.8846,0.580655,0.321874,0.420655,2.227035,-1.660000,-8.654832,"{""session_end"": 50, ""stop_or_trail"": 54}"
9,delay0_rank5_chg3-10,sl0.8_be0.6_trail0.9x0.4_t6,102,102,48.0392,0.571443,0.063646,0.411443,2.058039,-0.960000,-11.711607,"{""session_end"": 24, ""stop_or_trail"": 75, ""time_stop"": 3}"
10,delay0_rank5_chg3-10,sl1.0_be0.6_trail0.9x0.4_t6,102,102,49.0196,0.570253,0.143011,0.410253,1.978992,-1.160000,-14.365011,"{""session_end"": 30, ""stop_or_trail"": 67, ""time_stop"": 5}"
11,delay1_rank3_chg1-5,sl1.5_be0.8_trail1.2x0.6_t8,104,104,53.8462,0.568014,0.321874,0.408014,2.183809,-1.660000,-8.654832,"{""session_end"": 45, ""stop_or_trail"": 53, ""time_stop"": 6}"
12,delay0_rank3_chg2-8,sl1.0_be0.6_trail0.9x0.4_t12,117,117,53.8462,0.551744,0.280318,0.391744,2.034075,-1.160000,-8.047695,"{""session_end"": 37, ""stop_or_trail"": 80}"
13,delay0_rank3_chg2-8,sl1.0_be0.6_trail0.9x0.4_t18,117,117,53.8462,0.551744,0.280318,0.391744,2.034075,-1.160000,-8.047695,"{""session_end"": 37, ""stop_or_trail"": 80}"
14,delay0_rank5_chg3-10,sl1.2_be0.6_trail0.9x0.4_t12,102,102,49.0196,0.551367,0.143011,0.391367,1.859947,-1.360000,-14.684067,"{""session_end"": 36, ""stop_or_trail"": 66}"
15,delay0_rank5_chg3-10,sl1.2_be0.6_trail0.9x0.4_t18,102,102,49.0196,0.551367,0.143011,0.391367,1.859947,-1.360000,-14.684067,"{""session_end"": 36, ""stop_or_trail"": 66}"
16,delay0_rank3_chg2-8,sl1.0_be0.6_trail0.9x0.4_t8,117,117,53.8462,0.549830,0.280318,0.389830,2.029022,-1.160000,-8.047695,"{""session_end"": 35, ""stop_or_trail"": 80, ""time_stop"": 2}"
17,delay0_rank5_chg3-10,sl1.0_be0.8_trail1.2x0.6_t12,102,102,48.0392,0.547052,0.063646,0.387052,1.912650,-1.160000,-13.152570,"{""session_end"": 38, ""stop_or_trail"": 63, ""time_stop"": 1}"
18,delay0_rank5_chg3-10,sl1.0_be0.8_trail1.2x0.6_t18,102,102,48.0392,0.546628,0.063646,0.386628,1.911651,-1.160000,-13.152570,"{""session_end"": 38, ""stop_or_trail"": 64}"
19,delay0_rank5_chg3-10,sl1.2_be0.6_trail0.9x0.4_t8,102,102,49.0196,0.546152,0.143011,0.386152,1.848487,-1.360000,-14.908031,"{""session_end"": 35, ""stop_or_trail"": 65, ""time_stop"": 2}"
20,delay0_rank5_chg3-10,sl0.8_be0.8_trail1.2x0.6_t12,102,102,47.0588,0.545664,0.000000,0.385664,1.977099,-0.960000,-10.513644,"{""session_end"": 29, ""stop_or_trail"": 72, ""time_stop"": 1}"
